,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
360,axim,100.0,GH,1584502646.0,87.0,4.87,-2.24,79.36,6.38
361,port shepstone,57.0,ZA,1584503234.0,92.0,-30.74,30.45,58.6,4.05
362,sigli,41.0,ID,1584503234.0,75.0,5.38,95.96,81.57,4.88
363,sakaiminato,40.0,JP,1584503235.0,47.0,35.55,133.23,60.8,3.36
364,waterloo,1.0,CA,1584503235.0,79.0,43.47,-80.52,35.01,2.24
365,braganca,100.0,BR,1584503235.0,98.0,-1.05,-46.77,75.0,0.43
366,kendari,59.0,ID,1584503235.0,82.0,-3.94,122.5,82.72,4.14
367,black diamond,20.0,US,1584503235.0,86.0,47.31,-122.0,46.4,1.9
368,vrangel,0.0,RU,1584503236.0,82.0,42.73,133.08,36.55,8.32
370,roros,33.0,NO,1584503236.0,86.0,62.57,11.38,26.6,2.24
371,hualmay,100.0,PE,1584503236.0,71.0,-11.1,-77.61,72.81,3.18
372,college,75.0,US,1584503145.0,74.0,64.86,-147.8,35.6,2.51
373,kargasok,98.0,RU,1584502993.0,87.0,59.06,80.86,26.78,22.46
374,malanje,100.0,AO,1584503237.0,98.0,-9.54,16.34,62.83,2.51
375,keelung,75.0,TW,1584503237.0,61.0,25.13,121.74,77.0,4.7
376,inuvik,40.0,CA,1584503237.0,78.0,68.35,-133.72,14.0,8.05
377,conde,20.0,BR,1584503032.0,94.0,-7.26,-34.91,77.0,4.7
378,ballina,75.0,AU,1584503238.0,57.0,-28.87,153.57,75.99,16.11
379,lotofaga,100.0,WS,1584503238.0,65.0,-13.98,-171.86,83.46,7.11
380,tilichiki,100.0,RU,1584503238.0,88.0,60.47,166.1,18.75,9.64
381,sierra vista,1.0,US,1584503144.0,28.0,31.55,-110.3,60.8,16.17
382,atikokan,100.0,CA,1584502976.0,91.0,48.76,-91.62,18.57,3.69
384,plettenberg bay,0.0,ZA,1584503239.0,83.0,-34.05,23.37,62.96,9.13
385,san policarpo,65.0,PH,1584503036.0,81.0,12.18,125.51,80.1,9.22
386,barreirinha,100.0,BR,1584503239.0,84.0,-2.79,-57.07,77.41,2.84
387,kotaparh,0.0,IN,1584503239.0,41.0,19.15,82.35,81.32,4.72
388,nelson bay,20.0,AU,1584503239.0,57.0,-32.72,152.15,80.01,5.82
389,masuguru,93.0,TZ,1584503240.0,98.0,-11.37,38.42,70.27,1.45
390,laguna,1.0,US,1584503240.0,76.0,38.42,-121.42,51.8,2.01
391,faanui,100.0,PF,1584503240.0,70.0,-16.48,-151.75,83.77,7.87
392,wageningen,90.0,NL,1584503008.0,71.0,51.97,5.67,46.99,10.29
393,twin falls,90.0,US,1584503240.0,81.0,42.56,-114.46,46.4,5.82
394,galesong,20.0,ID,1584503241.0,59.0,-5.32,119.37,89.6,3.36
395,aasiaat,100.0,GL,1584503241.0,72.0,68.71,-52.87,4.24,11.52
396,teguise,68.0,ES,1584503241.0,72.0,29.06,-13.56,60.8,5.82
397,bridgewater,100.0,CA,1584503241.0,97.0,44.38,-64.52,37.0,7.92
398,vengerovo,100.0,RU,1584503241.0,93.0,55.68,76.75,26.91,18.92
399,severo-kurilsk,100.0,RU,1584502980.0,84.0,50.68,156.12,21.06,29.12
400,berdigestyakh,100.0,RU,1584503242.0,91.0,62.1,126.7,1.47,6.82
401,poronaysk,88.0,RU,1584503242.0,90.0,49.22,143.12,27.99,2.93
402,gioia tauro,40.0,IT,1584503242.0,81.0,38.42,15.9,54.0,4.5
403,cabra,68.0,ES,1584503242.0,62.0,37.47,-4.44,59.0,10.29
404,vagur,100.0,FO,1584503242.0,64.0,61.47,-6.81,41.11,28.99
405,ust-tsilma,100.0,RU,1584503243.0,86.0,65.44,52.15,25.52,7.94
406,kamaishi,75.0,JP,1584502658.0,70.0,39.27,141.88,46.4,1.12
407,lompoc,90.0,US,1584503170.0,71.0,34.64,-120.46,51.8,3.36
408,miraflores,90.0,MX,1584503243.0,72.0,19.22,-98.81,60.8,6.93
409,vanimo,77.0,PG,1584502652.0,76.0,-2.67,141.3,82.85,12.01
410,fermoy,75.0,IE,1584503244.0,93.0,52.14,-8.28,42.01,13.87
411,hirara,40.0,JP,1584503244.0,60.0,24.8,125.28,75.2,18.34
412,namatanai,82.0,PG,1584503244.0,68.0,-3.67,152.43,85.08,2.04
413,honningsvag,100.0,NO,1584503244.0,85.0,70.98,25.97,29.26,9.4
414,bintulu,75.0,MY,1584503244.0,74.0,3.17,113.03,86.0,4.7
415,tucurui,100.0,BR,1584502999.0,94.0,-3.77,-49.67,74.26,3.13
417,sri aman,75.0,MY,1584503245.0,74.0,1.24,111.46,86.0,3.36
418,kuching,40.0,MY,1584503245.0,94.0,1.55,110.33,78.8,4.7
419,morristown,90.0,US,1584503245.0,100.0,36.21,-83.29,57.2,2.84
420,camacha,75.0,PT,1584502350.0,77.0,33.08,-16.33,60.8,18.34
421,kaeo,0.0,NZ,1584503004.0,58.0,-35.1,173.78,70.0,7.0
423,oromocto,90.0,CA,1584503246.0,100.0,45.84,-66.48,33.8,14.99
424,ukiah,90.0,US,1584503246.0,81.0,39.15,-123.21,46.99,3.36
425,krasnoselkup,100.0,RU,1584503246.0,94.0,65.7,82.47,18.27,13.67
426,tari,84.0,NG,1584503247.0,7.0,12.41,4.49,75.45,7.78
427,san patricio,0.0,MX,1584503247.0,79.0,19.22,-104.7,76.32,7.74
428,yumen,67.0,CN,1584503247.0,15.0,40.28,97.2,49.8,11.86
429,manturovo,100.0,RU,1584503247.0,94.0,58.34,44.76,32.05,10.83
431,naifaru,100.0,MV,1584503248.0,77.0,5.44,73.37,84.61,20.51
432,aban,100.0,RU,1584503248.0,83.0,56.67,96.06,26.47,14.79
434,bani walid,58.0,LY,1584503248.0,88.0,31.76,13.99,51.3,8.37
435,amazar,100.0,RU,1584503248.0,81.0,53.86,120.88,29.8,7.27
436,galveston,90.0,US,1584503248.0,94.0,29.37,-94.97,73.99,9.17
437,kampot,40.0,KH,1584503249.0,55.0,10.62,104.18,87.8,10.29
438,vostok,99.0,RU,1584503168.0,91.0,46.49,135.88,30.25,6.91
439,babai,0.0,IN,1584503249.0,22.0,22.7,77.93,79.72,1.03
440,vila do maio,20.0,CV,1584503249.0,64.0,15.13,-23.22,69.8,11.41
441,ola,19.0,RU,1584503249.0,69.0,59.58,151.28,12.63,1.95
442,itororo,96.0,BR,1584503250.0,95.0,-15.12,-40.07,69.67,1.25
443,alim,1.0,PH,1584503250.0,57.0,9.56,122.49,86.45,11.21
444,rosario,88.0,AR,1584503102.0,89.0,-32.95,-60.64,69.01,1.01
445,xudat,47.0,AZ,1584503250.0,78.0,41.63,48.68,29.05,3.69
446,fairlie,100.0,GB,1584503250.0,86.0,55.76,-4.86,41.0,12.75
447,dhidhdhoo,100.0,MV,1584503101.0,76.0,6.88,73.1,84.43,16.44
448,yarim,100.0,YE,1584503251.0,62.0,14.3,44.38,56.7,2.93
449,juegang,3.0,CN,1584503251.0,61.0,32.32,121.19,66.33,11.12
450,agua buena,40.0,PA,1584503251.0,65.0,7.82,-80.4,78.8,4.7
451,waddan,100.0,LY,1584503252.0,53.0,29.16,16.14,58.98,14.56
452,tongliao,55.0,CN,1584503252.0,32.0,43.61,122.27,54.03,16.89
453,dargaville,0.0,NZ,1584503252.0,45.0,-35.93,173.88,66.25,8.16
454,leninskoye,100.0,RU,1584503252.0,92.0,47.94,132.62,30.42,5.64
457,charters towers,0.0,AU,1584503253.0,45.0,-20.1,146.27,84.07,11.21
458,kindu,100.0,CD,1584503253.0,98.0,-2.95,25.95,68.68,1.68
459,rocha,100.0,UY,1584503006.0,81.0,-34.48,-54.33,65.73,11.32
460,bull savanna,12.0,JM,1584503253.0,86.0,17.89,-77.59,65.68,5.26
461,tall kayf,90.0,TR,1584503253.0,87.0,37.08,41.07,51.8,20.8
463,mao,68.0,ES,1584503254.0,93.0,39.89,4.27,55.4,10.29
464,tecoanapa,0.0,MX,1584503254.0,88.0,16.52,-98.75,75.45,1.28
465,fiche,92.0,ET,1584503254.0,66.0,9.8,38.73,65.25,2.91
466,bilma,0.0,NE,1584502986.0,10.0,18.69,12.92,70.11,8.79
467,nioro,0.0,GM,1584503255.0,41.0,13.35,-15.75,68.52,7.67
468,port-cartier,90.0,CA,1584503255.0,92.0,50.03,-66.87,28.4,6.93
469,macherla,55.0,IN,1584503255.0,51.0,16.48,79.43,82.51,9.17
470,jati,0.0,PK,1584503255.0,18.0,24.35,68.27,79.66,5.97
471,bafia,100.0,CM,1584503255.0,96.0,4.75,11.23,71.73,1.97
472,esso,100.0,RU,1584503256.0,90.0,55.93,158.7,10.56,5.66
473,cranbourne,90.0,AU,1584503256.0,34.0,-38.1,145.28,82.99,17.22
474,hokitika,0.0,NZ,1584503232.0,65.0,-42.72,170.97,60.64,7.63
475,port moresby,40.0,PG,1584503256.0,66.0,-9.44,147.18,89.6,17.22
476,mana,100.0,GF,1584503256.0,92.0,5.66,-53.78,73.04,2.77
477,rio gallegos,0.0,AR,1584503256.0,43.0,-51.62,-69.22,55.4,9.17
478,itaituba,97.0,BR,1584503257.0,96.0,-4.28,-55.98,73.87,1.63
479,sola,75.0,VU,1584503257.0,84.0,-13.88,167.55,86.0,7.25
480,dickinson,90.0,US,1584502958.0,94.0,29.46,-95.05,73.99,9.17
481,oranjestad,20.0,AW,1584503257.0,74.0,12.52,-70.03,80.6,10.29
482,kahului,90.0,US,1584503257.0,88.0,20.89,-156.47,73.4,5.82
483,barra patuca,1.0,HN,1584503258.0,78.0,15.8,-84.28,79.86,16.46
484,cherskiy,100.0,RU,1584503253.0,92.0,68.75,161.3,2.55,12.24
485,lahat,100.0,ID,1584503258.0,90.0,-3.8,103.53,73.06,2.13
486,gohana,0.0,IN,1584503258.0,49.0,29.13,76.7,69.17,3.6
487,taoudenni,67.0,ML,1584503258.0,12.0,22.68,-3.98,70.68,7.0
488,port blair,95.0,IN,1584503124.0,67.0,11.67,92.75,82.56,8.72
489,waingapu,9.0,ID,1584503259.0,69.0,-9.66,120.26,85.21,10.47
490,broome,75.0,US,1584503259.0,80.0,42.25,-75.83,39.2,8.05
491,alofi,75.0,NU,1584503259.0,74.0,-19.06,-169.92,86.0,12.75
492,san manuel chaparron,0.0,GT,1584503259.0,77.0,14.52,-89.77,60.03,4.63
493,quelimane,8.0,MZ,1584503260.0,83.0,-17.88,36.89,76.17,4.72
494,nazca,94.0,PE,1584503260.0,75.0,-14.83,-74.95,71.11,3.51
495,cassilandia,31.0,BR,1584503260.0,88.0,-19.11,-51.73,71.76,1.39
496,san luis,0.0,AR,1584503247.0,79.0,-33.3,-66.34,65.12,13.76
499,senanga,95.0,ZM,1584503261.0,93.0,-16.12,23.27,65.89,3.09
500,inta,100.0,RU,1584503261.0,92.0,66.03,60.17,20.25,21.27
501,nassau,90.0,US,1584503114.0,81.0,40.75,-73.58,51.01,4.7
502,bathsheba,20.0,BB,1584503261.0,73.0,13.22,-59.52,77.0,11.41
503,camopi,33.0,GF,1584503262.0,85.0,3.17,-52.32,75.51,3.74
504,luwuk,52.0,ID,1584503262.0,73.0,-0.95,122.79,82.27,4.43
505,talavera de la reina,0.0,ES,1584503262.0,87.0,39.96,-4.83,48.56,10.11
506,meulaboh,79.0,ID,1584503262.0,73.0,4.14,96.13,81.66,4.9
507,lasa,1.0,IT,1584503262.0,92.0,46.62,10.7,43.0,1.12
508,pozo colorado,38.0,PY,1584503262.0,51.0,-23.49,-58.8,85.98,5.46
509,padang,98.0,ID,1584503187.0,64.0,-0.95,100.35,80.19,2.57
510,queimados,20.0,BR,1584503263.0,88.0,-22.72,-43.56,75.2,2.24
511,tevriz,100.0,RU,1584503263.0,82.0,57.51,72.4,27.27,14.14
512,izvestkovyy,100.0,RU,1584503263.0,82.0,48.98,131.55,31.91,3.51
513,praia da vitoria,20.0,PT,1584503263.0,82.0,38.73,-27.07,60.8,14.5
514,kutum,69.0,SD,1584503264.0,24.0,14.2,24.67,56.59,4.25
515,beloha,44.0,MG,1584503264.0,88.0,-25.17,45.05,66.74,9.35
516,bereda,0.0,ES,1584503264.0,100.0,43.27,-7.54,45.0,3.36
517,abai,31.0,PY,1584503264.0,53.0,-26.03,-55.93,83.08,6.82
518,artsvaberd,100.0,AM,1584503264.0,97.0,40.83,45.47,32.81,3.71
519,bud,75.0,US,1584503265.0,65.0,39.45,-86.18,45.0,5.82
520,yudong,0.0,CN,1584503265.0,59.0,29.39,106.52,68.0,4.47
522,kailua,75.0,US,1584503127.0,78.0,21.4,-157.74,73.4,16.96
523,sibu,75.0,MY,1584503265.0,70.0,2.3,111.82,87.8,3.36
524,kerikeri,0.0,NZ,1584503266.0,58.0,-35.23,173.95,70.0,7.0
525,christiana,22.0,ZA,1584503266.0,90.0,-27.91,25.16,58.35,8.08
526,kirksville,90.0,US,1584503140.0,81.0,40.19,-92.58,45.0,8.05
527,abu samrah,51.0,SY,1584503266.0,85.0,35.3,37.18,46.09,14.07
528,kolokani,63.0,ML,1584503266.0,12.0,13.57,-8.03,76.24,6.33
529,cullera,75.0,ES,1584503267.0,93.0,39.17,-0.25,57.99,4.7
530,colac,100.0,AU,1584503267.0,57.0,-38.33,143.58,84.99,1.01
531,kropotkin,93.0,RU,1584503267.0,58.0,45.44,40.58,34.0,13.02
532,iki-burul,100.0,RU,1584503267.0,65.0,45.82,44.65,32.0,4.47
533,salinas,20.0,US,1584503267.0,87.0,36.68,-121.66,51.01,3.53
534,long xuyen,40.0,VN,1584503267.0,66.0,10.38,105.42,87.8,9.17
535,suhbaatar,0.0,MN,1584503268.0,58.0,50.23,106.21,29.1,6.13
536,aliaga,75.0,PH,1584503268.0,55.0,15.52,120.87,87.8,2.24
537,lerik,90.0,AZ,1584503268.0,100.0,38.77,48.41,41.0,2.24
538,estelle,40.0,US,1584503268.0,88.0,29.85,-90.11,71.6,3.36
539,ahipara,0.0,NZ,1584503268.0,68.0,-35.17,173.17,64.04,20.07
541,bolobo,100.0,CD,1584503269.0,84.0,-2.17,16.23,74.73,3.83
542,hofn,93.0,IS,1584503269.0,94.0,64.25,-15.21,36.25,20.76
543,berlevag,100.0,NO,1584503269.0,87.0,70.86,29.09,29.64,8.77
544,canutama,100.0,BR,1584503269.0,95.0,-6.53,-64.38,74.44,1.68
545,behbahan,40.0,IR,1584503270.0,72.0,30.6,50.24,60.8,7.34
546,blythe,20.0,US,1584503270.0,36.0,33.61,-114.6,63.0,9.17
547,makakilo city,75.0,US,1584503270.0,78.0,21.35,-158.09,73.4,4.23
548,milkovo,100.0,RU,1584503003.0,83.0,54.72,158.62,17.2,5.75
549,sunds,100.0,DK,1584503270.0,87.0,56.2,9.01,50.0,21.92
550,altamont,90.0,US,1584503271.0,86.0,42.21,-121.74,34.0,12.75
551,baherden,100.0,TM,1584503271.0,75.0,38.44,57.43,55.31,5.03
552,bandarban,0.0,BD,1584503271.0,27.0,22.2,92.23,86.02,6.46
553,reinosa,2.0,ES,1584503271.0,100.0,43.0,-4.14,51.01,2.24
554,purpe,99.0,RU,1584503271.0,80.0,64.48,76.69,21.99,3.0
555,general pico,96.0,AR,1584503272.0,88.0,-35.66,-63.76,62.22,4.61
556,caconda,100.0,AO,1584503272.0,99.0,-13.73,15.07,61.2,3.24
557,abu dhabi,0.0,AE,1584503076.0,56.0,24.47,54.37,75.99,14.99
559,haines junction,94.0,CA,1584503272.0,80.0,60.75,-137.51,16.41,4.65
560,aswan,0.0,EG,1584503273.0,44.0,24.09,32.91,55.6,15.08
561,suntar,100.0,RU,1584503273.0,90.0,62.14,117.63,1.72,4.99
562,aguililla,2.0,MX,1584503273.0,79.0,18.73,-102.73,63.5,3.47
563,kitimat,20.0,CA,1584503107.0,42.0,54.05,-128.65,44.6,9.17
564,soe,5.0,ID,1584503273.0,55.0,-9.86,124.28,85.35,8.23
565,la ronge,75.0,CA,1584503273.0,64.0,55.1,-105.28,-4.0,1.05
566,bonanza,2.0,NI,1584503274.0,98.0,14.03,-84.59,68.9,1.36
567,obo,92.0,CF,1584503274.0,93.0,5.4,26.49,66.2,2.13
568,margate,38.0,GB,1584503274.0,87.0,51.38,1.39,50.0,16.11
569,flin flon,45.0,CA,1584502996.0,94.0,54.77,-101.86,-6.7,4.12
570,karasjok,98.0,NO,1584503274.0,100.0,69.47,25.51,23.0,8.05
571,jorpeland,75.0,NO,1584503275.0,93.0,59.02,6.04,43.0,8.05
572,monteagudo,100.0,BO,1584503275.0,97.0,-19.82,-63.98,62.94,0.22
573,vizinga,100.0,RU,1584503275.0,87.0,61.07,50.1,24.08,9.51
574,tiruppuvanam,20.0,IN,1584503275.0,74.0,9.83,78.27,82.4,9.17
576,soyo,100.0,AO,1584503276.0,93.0,-6.13,12.37,77.25,3.2
577,blagoyevo,100.0,RU,1584503276.0,87.0,63.37,47.92,24.8,11.41
578,westport,1.0,US,1584502986.0,75.0,41.14,-73.36,51.8,4.7
579,umm lajj,0.0,SA,1584503023.0,55.0,25.02,37.27,62.64,7.09
580,plouzane,25.0,FR,1584503276.0,100.0,48.38,-4.62,42.8,6.93
581,juquia,3.0,BR,1584503276.0,98.0,-24.32,-47.63,69.8,1.36
582,invermere,2.0,CA,1584503107.0,91.0,50.52,-116.04,25.39,2.75
583,salym,100.0,RU,1584503277.0,84.0,60.06,71.48,20.98,12.97
584,zhicheng,12.0,CN,1584503277.0,46.0,30.3,111.5,70.57,2.15
585,marsh harbour,67.0,BS,1584503277.0,72.0,26.54,-77.06,72.03,9.64
586,salinopolis,99.0,BR,1584503277.0,80.0,-0.61,-47.36,82.17,9.55
587,kurchum,100.0,KZ,1584503278.0,82.0,48.57,83.65,33.19,2.42
588,stranda,98.0,NO,1584503278.0,80.0,62.31,6.94,39.2,21.92
589,tikhvin,99.0,RU,1584503278.0,88.0,59.65,33.53,35.15,11.03
590,sambava,0.0,MG,1584503278.0,97.0,-14.27,50.17,70.59,1.92
591,langenburg,63.0,DE,1584503278.0,100.0,49.25,9.85,45.0,4.7
592,honiara,20.0,SB,1584503279.0,74.0,-9.43,159.95,87.8,10.29
594,el alto,100.0,PE,1584503279.0,73.0,-4.27,-81.21,76.39,3.44
595,buchanan,100.0,LR,1584503279.0,92.0,5.88,-10.05,77.95,3.83
596,chicama,75.0,PE,1584503279.0,88.0,-7.84,-79.15,71.6,6.93
597,tornio,66.0,FI,1584503280.0,88.0,65.85,24.15,32.0,12.75
598,sao gabriel da cachoeira,100.0,BR,1584503280.0,96.0,-0.13,-67.09,74.68,2.66
600,ust-uda,19.0,RU,1584503280.0,92.0,54.17,103.03,13.59,7.74
601,misratah,41.0,LY,1584503280.0,77.0,32.38,15.09,58.06,19.95
602,anadyr,13.0,RU,1584503280.0,68.0,64.75,177.48,26.6,4.47
603,arbelaez,40.0,CO,1584503281.0,82.0,4.27,-74.42,57.2,4.7
604,kashi,100.0,CN,1584503281.0,23.0,39.45,75.98,50.0,6.71
605,portland,75.0,US,1584503110.0,46.0,45.52,-122.68,53.6,3.36
607,luancheng,4.0,CN,1584503281.0,7.0,37.88,114.65,77.0,13.42
608,acapulco,5.0,MX,1584503171.0,78.0,16.86,-99.89,82.4,9.17
609,nelson,0.0,NZ,1584503282.0,56.0,-41.28,173.28,64.99,4.0
610,kilindoni,55.0,TZ,1584503282.0,85.0,-7.91,39.67,77.67,6.76
611,port macquarie,0.0,AU,1584503223.0,53.0,-31.43,152.92,77.0,5.82
612,aksu,55.0,CN,1584503282.0,22.0,41.12,80.26,51.37,3.24
613,henties bay,6.0,NA,1584503283.0,95.0,-22.12,14.28,61.0,5.01
614,abalak,80.0,RU,1584503283.0,87.0,58.13,68.59,23.59,10.18
615,medea,75.0,DZ,1584503283.0,100.0,36.26,2.75,59.0,4.7
616,tiarei,75.0,PF,1584503283.0,70.0,-17.53,-149.33,86.0,5.82
617,richards bay,82.0,ZA,1584503283.0,71.0,-28.78,32.04,71.6,25.01
618,sao joao da barra,100.0,BR,1584503284.0,88.0,-21.64,-41.05,77.41,4.36
619,kaimganj,0.0,IN,1584503284.0,51.0,27.57,79.35,71.02,7.09
621,chegdomyn,100.0,RU,1584503284.0,94.0,51.12,133.02,27.81,1.99
622,stillwater,90.0,US,1584503138.0,93.0,36.12,-97.06,54.0,5.82
623,svetlogorsk,33.0,BY,1584503284.0,93.0,52.63,29.73,33.71,6.04
624,anstruther,20.0,GB,1584503285.0,93.0,56.22,-2.7,39.99,11.41
